"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes","mean_eff_tax","Federal.Minimum.Wage","Governor.is.Democrat..1.Yes.","Personal.income","Poverty.Rate","state_num","State.Minimum.Wage","Unemployment","year","state_fips","SSI.recipients","Employment"
2006,"AK",675.302,6.6,26.9,47546.2,"Alaska",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",27726.7,8.9,"2",7.15,23.149,2006,2,11.34,326.542
2006,"AL",4628.981,4,21.1,199923.9,"Alabama",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",145175.8,14.3,"1",5.15,87.576,2006,1,164.764,2080.233
2006,"AR",2821.761,5.2,18.2,114890.4,"Arkansas",1,2018,2019,2022,1,1,0,"",NA,5.15,"0",83068.2,17.7,"4",5.15,70.504,2006,5,92.96,1294.906
2006,"AZ",6029.141,4.3,25.5,296424.4,"Arizona",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",209127,14.4,"3",5.15,126.056,2006,4,99.196,2864.385
2006,"CA",36021.202,4.9,29,2120435.4,"California",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",1516057.5,12.2,"5",6.75,864.687,2006,6,1226.697,16789.422
2006,"CO",4720.423,4.3,34.3,268190.8,"Colorado",1,2019,2020,2020,1,1,0,"",NA,5.15,"0",189475.6,9.7,"6",5.15,112.514,2006,8,56.83,2509.729
2006,"CT",3517.46,4.4,33.7,269478.6,"Connecticut",1,2021,2021,2021,1,1,0,"",NA,5.15,"0",189750.4,8,"7",7.4,79.46,2006,9,53.276,1749.191
2006,"DE",859.268,3.6,27,68411.8,"Delaware",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",35265.5,9.3,"8",6.15,15.785,2006,10,14.038,425.399
2006,"FL",18166.99,3.3,25.3,909298.9,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations",NA,5.15,"0",698476,11.5,"10",6.4,290.682,2006,12,427.902,8709.522
2006,"GA",9155.813,4.7,26.6,487524.9,"Georgia",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",317584.3,12.6,"11",5.15,221.647,2006,13,205.793,4489.128
2006,"HI",1309.731,2.6,29.7,74893,"Hawaii",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",50701.1,9.2,"12",6.75,16.687,2006,15,22.924,621.573
2006,"IA",2982.644,3.7,24,155704.5,"Iowa",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",102580.1,10.3,"16",5.15,61.054,2006,19,43.896,1596.53
2006,"ID",1468.669,3.4,23.3,60738.6,"Idaho",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",46161.3,9.5,"13",5.15,26.031,2006,16,23.053,721.346
2006,"IL",12643.955,4.6,28.9,759825.7,"Illinois",1,2019,2020,2020,1,1,0,"",NA,5.15,"1",508470.3,10.6,"14",6.5,295.428,2006,17,261.052,6230.845
2006,"IN",6332.669,5,21.7,312525.6,"Indiana",1,2019,2019,2019,1,1,0,"",NA,5.15,"0",209427.5,10.6,"15",5.15,162.997,2006,18,101.058,3072.113
2006,"KS",2762.931,4.4,28.6,136135.8,"Kansas",1,2022,2022,2022,1,1,0,"",NA,5.15,"1",97937.9,12.8,"17",2.65,64.299,2006,20,39.501,1402.796
2006,"KY",4219.239,5.7,20,186332.7,"Kentucky",1,2023,2023,2023,1,1,0,"",NA,5.15,"0",128867.4,16.8,"18",5.15,115.759,2006,21,181.857,1913.472
2006,"LA",4302.665,4.1,20.3,247139.7,"Louisiana",1,2021,2021,2022,1,1,0,"",NA,5.15,"1",143643.3,17,"19",5.15,88.532,2006,22,157.299,1899.981
2006,"MA",6410.084,4.7,37,426926.1,"Massachusetts",1,2022,2023,2023,1,1,0,"",NA,5.15,"0",307519.3,12,"22",6.75,167.023,2006,25,174.509,3246.316
2006,"MD",5627.367,3.9,35.1,329874,"Maryland",1,2021,2021,2021,1,1,0,"",NA,5.15,"0",258473.5,8.4,"21",5.15,114.512,2006,24,96.248,2849.354
2006,"ME",1323.619,4.7,25.8,59986,"Maine",1,2022,2023,2023,1,1,0,"",NA,5.15,"1",45683.5,10.2,"20",6.75,31.987,2006,23,32.536,669.554
2006,"MI",10036.081,6.9,24.5,483763.6,"Michigan",1,2019,2020,2021,1,1,0,"",NA,5.15,"1",338507.7,13.3,"23",6.95,355.571,2006,26,225.16,4721.085
2006,"MN",5163.555,4.1,30.4,302272.7,"Minnesota",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",205273.8,8.2,"24",6.15,115.717,2006,27,75.793,2772.115
2006,"MO",5842.704,4.9,24.3,286558.3,"Missouri",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",198791.6,11.4,"26",5.15,146.932,2006,29,119.795,2882.757
2006,"MS",2904.978,6.4,18.8,105879.9,"Mississippi",1,2017,2017,NA,0,1,0,"",NA,5.15,"0",80873.3,20.6,"25",5.15,84.265,2006,28,123.679,1205.906
2006,"MT",952.692,3.4,27.4,40055,"Montana",1,2019,2019,NA,0,1,0,"",NA,5.15,"1",30402.3,13.5,"27",5.15,17.237,2006,30,15.208,476.377
2006,"NC",8917.27,4.7,24.8,470663.9,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal",NA,5.15,"1",306078,13.8,"34",5.15,210.872,2006,37,202.613,4234.095
2006,"ND",649.422,3.1,25.6,30911.4,"North Dakota",1,2018,2018,2018,0,1,1,"",NA,5.15,"0",21361.4,11.4,"35",5.15,11.638,2006,38,8.035,349.821
2006,"NE",1772.693,3,26.9,97322.8,"Nebraska",1,2021,2021,NA,0,1,0,"",NA,5.15,"0",63584.2,10.2,"28",5.15,30.178,2006,31,22.621,939.874
2006,"NH",1308.389,3.5,31.9,71424.5,"New Hampshire",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",56585.7,5.4,"30",5.15,25.077,2006,33,14.47,706.777
2006,"NJ",8661.679,4.7,33.4,555211,"New Jersey",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",415890.9,8.8,"31",7.15,209.394,2006,34,154.482,4236.485
2006,"NM",1962.137,4.2,25.3,88554.5,"New Mexico",1,2018,2018,NA,0,1,1,"",NA,5.15,"1",59946.3,16.9,"32",5.15,38.646,2006,35,55.182,889.448
2006,"NV",2522.658,4.2,20.8,156297.9,"Nevada",1,1949,1949,2010,1,1,0,"",NA,5.15,"0",100383.7,9.5,"29",6.15,52.031,2006,32,34.468,1233.287
2006,"NY",19104.631,4.5,31.2,1339568.5,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/",NA,5.15,"0",844018.8,14,"33",6.75,430.62,2006,36,641.87,9077.529
2006,"OH",11481.213,5.4,23,582637.6,"Ohio",1,2021,2021,2021,1,1,0,"",NA,5.15,"0",392156.6,12.1,"36",5.15,321.047,2006,39,254.012,5624.435
2006,"OK",3594.09,3.9,22.1,149367.2,"Oklahoma",0,NA,NA,NA,0,0,0,"",NA,5.15,"1",123473.5,15.2,"37",5.15,68.696,2006,40,82.386,1647.098
2006,"OR",3670.883,5.4,27.5,177222.4,"Oregon",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",128145.4,11.8,"38",7.5,100.341,2006,41,62.28,1785.044
2006,"PA",12510.809,4.7,25.4,626589.9,"Pennsylvania",1,2017,2017,2017,1,1,0,"",NA,5.15,"1",475815.3,11.3,"39",5.15,287.87,2006,42,325.822,6006.634
2006,"RI",1063.096,5.3,29.6,57415.8,"Rhode Island",1,2018,2018,2019,1,1,0,"",NA,5.15,"0",41711.7,10.5,"40",7.1,28.244,2006,44,30.72,544.357
2006,"SC",4357.847,6.4,22.7,187386.1,"South Carolina",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",134622.6,11.2,"41",5.15,135.76,2006,45,105.411,1973.337
2006,"SD",783.033,3,24.8,39961.7,"South Dakota",1,2021,2021,NA,0,1,0,"",NA,5.15,"0",27544.6,10.7,"42",5.15,13.524,2006,46,12.748,421.483
2006,"TN",6088.766,5.2,21.7,295668.2,"Tennessee",1,2019,NA,2019,1,0,0,"",NA,5.15,"1",200305.1,14.9,"43",5.15,157.574,2006,47,162.574,2878.455
2006,"TX",23359.58,5,24.7,1225147.3,"Texas",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",820949.9,16.4,"44",5.15,553.505,2006,48,524.458,10774.49
2006,"UT",2525.507,2.9,28.6,127539.4,"Utah",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",79063,9.3,"45",5.15,39.122,2006,49,23.532,1279.328
2006,"VA",7673.725,3.1,32.7,451263.1,"Virginia",1,2020,2020,2020,1,1,0,"",NA,5.15,"1",326087.1,8.6,"47",5.15,123.008,2006,51,139.313,3855.633
2006,"VT",622.892,3.7,32.4,29420.9,"Vermont",1,2023,NA,2023,1,0,0,"",NA,5.15,"0",23108.8,7.8,"46",7.25,13.142,2006,50,13.457,343.865
2006,"WA",6370.753,5,30.5,372145.1,"Washington",1,2020,2020,NA,0,1,1,"tribal-only",NA,5.15,"1",257120,8,"48",7.35,167.312,2006,53,118.946,3156.626
2006,"WI",5577.655,4.7,25.1,287146.6,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only",NA,5.15,"1",202649.3,10.1,"50",5.7,144.785,2006,55,93.549,2914.15
2006,"WV",1827.912,4.8,16.5,68900,"West Virginia",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",52193.7,15.3,"49",5.85,39.769,2006,54,77.987,766.399
2006,"WY",522.667,3.1,22.7,36655.7,"Wyoming",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",22771,10,"51",5.15,8.911,2006,56,5.786,272.336
2007,"AK",680.3,6.3,26,50126.8,"Alaska",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",29838.9,7.6,"2",7.15,22.206,2007,2,11.44,328.579
2007,"AL",4672.84,4.1,21.4,202025.5,"Alabama",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",152327,14.5,"1",5.15,86.485,2007,1,165.521,2089.127
2007,"AR",2848.65,5.4,19.3,114026.7,"Arkansas",1,2018,2019,2022,1,1,0,"",NA,5.15,"1",88508.3,13.8,"4",6.25,72.712,2007,5,95.802,1296.572
2007,"AZ",6167.681,3.7,25.3,306611.6,"Arizona",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",220735.9,14.3,"3",6.75,116.899,2007,4,100.724,2917.117
2007,"CA",36250.311,5.3,29.5,2168940.4,"California",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",1581573.3,12.7,"5",7.5,961.49,2007,6,1247.231,16931.59
2007,"CO",4803.868,3.7,35,278733.8,"Colorado",1,2019,2020,2020,1,1,0,"",NA,5.15,"1",201875.5,9.8,"6",6.85,99.459,2007,8,58.497,2565.218
2007,"CT",3527.27,4.5,34.7,278485.4,"Connecticut",1,2021,2021,2021,1,1,0,"",NA,5.15,"0",204090.2,8.9,"7",7.65,83.05,2007,9,54.197,1773.159
2007,"DE",871.749,3.4,26.1,68132.4,"Delaware",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",36340.6,9.3,"8",6.65,15.261,2007,10,14.401,428.312
2007,"FL",18367.842,4,25.8,922288.3,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations",NA,5.15,"0",727404.7,12.5,"10",6.67,367.354,2007,12,431.015,8789.77
2007,"GA",9349.988,4.6,27.1,492238.7,"Georgia",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",332135.8,13.6,"11",5.15,218.178,2007,13,208.016,4597.64
2007,"HI",1315.675,2.7,29.2,76434.1,"Hawaii",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",53423.1,7.5,"12",7.25,17.86,2007,15,23.262,620.535
2007,"IA",2999.212,3.7,24.3,162838.1,"Iowa",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",109889.6,8.9,"16",5.15,61.345,2007,19,44.659,1599.332
2007,"ID",1505.105,3,24.5,61812.1,"Idaho",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",49123,9.9,"13",5.15,23.203,2007,16,23.697,731.235
