State,Date,Handle,Revenue,Hold,Taxes,Effective Tax Rate
Arizona,9/1/2021,"$291,212,868","$32,308,342",11.10%,"$31,393",0.0009716685554
Arizona,10/1/2021,"$486,097,352","$37,510,371",7.70%,"$1,022,841",0.0272682187
Arizona,11/1/2021,"$466,725,687","$51,416,143",11.00%,"$3,177,148",0.06179281087
Arizona,12/1/2021,"$499,213,733","$39,822,928",8.00%,"$1,723,902",0.04328918255
Arizona,1/1/2022,"$563,694,591","$41,890,200",7.40%,"$1,952,971",0.04662119064
Arizona,2/1/2022,"$491,665,554","$25,629,835",5.20%,"$670,686",0.02616817471
Arizona,3/1/2022,"$690,979,294","$38,898,393",5.60%,"$1,864,457",0.04793146596
Arizona,4/1/2022,"$512,877,848","$30,441,992",5.90%,"$1,647,450",0.0541176806
Arizona,5/1/2022,"$461,450,688","$56,193,286",12.20%,"$4,125,125",0.07340957067
Arizona,6/1/2022,"$318,774,198","$12,601,356",4.00%,"$766,831",0.06085305423
Arizona,7/1/2022,"$290,511,533","$22,684,581",7.80%,"$1,496,427",0.06596670223
Arizona,8/1/2022,"$361,008,835","$37,161,759",10.30%,"$2,767,590",0.07447413886
Arizona,9/1/2022,"$537,966,149","$56,428,816",10.50%,"$3,058,838",0.05420702075
Arizona,10/1/2022,"$618,570,296","$49,392,417",8.00%,"$2,963,716",0.06000346166
Arizona,11/1/2022,"$616,855,045","$56,028,195",9.10%,"$3,876,208",0.06918316751
Arizona,12/1/2022,"$572,490,899","$55,581,725",9.70%,"$3,724,395",0.0670075461
Arizona,1/1/2023,"$591,220,794","$47,486,817",8.00%,"$2,886,502",0.06078533333
Arizona,2/1/2023,"$609,278,096","$35,412,452",5.80%,"$1,609,581",0.04545240188
Arizona,3/1/2023,"$644,763,991","$53,523,947",8.30%,"$3,704,268",0.06920767633
Arizona,4/1/2023,"$535,712,027","$49,163,323",9.20%,"$3,429,846",0.06976432411
Arizona,5/1/2023,"$451,717,025","$49,458,507",10.90%,"$3,376,059",0.06826043091
Arizona,6/1/2023,"$393,198,858","$28,331,608",7.20%,"$1,633,356",0.05765136945
Arizona,7/1/2023,"$323,211,485","$35,343,495",10.90%,"$2,678,598",0.07578758128
Arizona,8/1/2023,"$358,875,474","$31,681,151",8.80%,"$2,128,096",0.06717230697
Arizona,9/1/2023,"$610,716,285","$60,115,066",9.80%,"$3,243,222",0.05395023604
Arizona,10/1/2023,"$648,208,573","$56,868,981",8.80%,"$3,287,799",0.05781357327
Arizona,11/1/2023,"$713,586,704","$42,333,282",5.90%,"$2,023,887",0.0478084123
Arizona,12/1/2023,"$693,310,960","$67,697,686",9.80%,"$4,817,325",0.07115937464
Arizona,1/1/2024,"$706,382,861","$70,943,718",10.00%,"$4,610,005",0.06498115873
Arizona,2/1/2024,"$637,485,879","$54,329,589",8.50%,"$2,788,885",0.05133270933
Arizona,3/1/2024,"$759,807,633","$59,289,055",7.80%,"$3,784,200",0.06382628295
Arizona,4/1/2024,"$656,322,666","$64,489,906",9.80%,"$4,328,378",0.06711713923
Arizona,5/1/2024,"$568,493,315","$62,444,214",11.00%,"$4,307,143",0.06897585419
Arizona,6/1/2024,"$454,116,117","$47,269,458",10.40%,"$3,157,087",0.06678915168
Arizona,7/1/2024,"$410,140,440","$42,514,638",10.40%,"$2,896,319",0.06812521842
Arizona,8/1/2024,"$496,602,562","$37,071,285",7.50%,"$2,239,781",0.06041821858
Arizona,9/1/2024,"$732,099,544","$76,364,871",10.40%,"$3,962,932",0.05189469907
Arizona,10/1/2024,"$791,243,694","$55,622,010",7.00%,"$2,353,297",0.04230873713
Arizona,11/1/2024,"$897,635,847","$86,285,876",9.60%,"$5,731,498",0.0664245212
Arizona,12/1/2024,"$849,316,636","$51,089,325",6.00%,"$2,580,184",0.05050338794
Arizona,1/1/2025,"$864,246,556","$85,003,961",9.80%,"$5,318,013",0.06256194344
Arizona,2/1/2025,"$699,726,800","$65,584,317",9.40%,"$3,980,547",0.06069358014
Arizona,3/1/2025,"$887,363,830","$50,409,421",5.70%,"$2,491,843",0.04943208929
Arizona,4/1/2025,"$746,436,864","$65,890,775",8.80%,"$4,337,306",0.06582569411
Arkansas,7/1/2019,"$416,160","$76,885",18.50%,"$9,995",0.1299993497
Arkansas,8/1/2019,"$778,249","$58,858",7.60%,"$7,652",0.1300078154
Arkansas,9/1/2019,"$2,252,196","$183,044",8.10%,"$23,796",0.1300015297
Arkansas,10/1/2019,"$2,216,369","$380,006",17.10%,"$49,401",0.1300005789
Arkansas,11/1/2019,"$2,978,235","$181,497",6.10%,"$23,595",0.1300021488
Arkansas,12/1/2019,"$2,633,806","$455,368",17.30%,"$59,198",0.1300003514
Arkansas,1/1/2020,"$2,587,732","$254,811",9.80%,"$33,263",0.1305398904
Arkansas,2/1/2020,"$4,294,366","$411,589",9.60%,"$67,494",0.1639839743
Arkansas,3/1/2020,"$1,588,403","$222,373",14.00%,"$38,310",0.1722781093
Arkansas,4/1/2020,$0,$0,,$0,#DIV/0!
Arkansas,5/1/2020,$509,-$115,-22.60%,-$15,0.1304347826
Arkansas,6/1/2020,"$1,189",$10,0.80%,$1,0.1
Arkansas,7/1/2020,"$179,315","-$19,633",-10.90%,"-$2,552",0.129985229
Arkansas,8/1/2020,"$1,008,992","$69,625",6.90%,"$9,051",0.1299964093
Arkansas,9/1/2020,"$3,958,748","$397,095",10.00%,"$51,622",0.1299991186
Arkansas,10/1/2020,"$6,559,859","$940,513",14.30%,"$122,267",0.1300003296
Arkansas,11/1/2020,"$6,288,249","$975,984",15.50%,"$126,878",0.130000082
Arkansas,12/1/2020,"$6,415,446","$1,054,273",16.40%,"$137,055",0.1299995352
Arkansas,1/1/2021,"$7,187,194","$1,383,240",19.20%,"$180,474",0.1304719355
Arkansas,2/1/2021,"$4,469,442","$651,239",14.60%,"$92,922",0.1426849436
Arkansas,3/1/2021,"$5,947,427","$805,182",13.50%,"$130,877",0.1625433753
Arkansas,4/1/2021,"$4,065,703","$756,328",18.60%,"$131,137",0.1733864144
Arkansas,5/1/2021,"$3,687,207","$506,142",13.70%,"$81,710",0.161436909
Arkansas,6/1/2021,"$3,895,683","$382,940",9.80%,"$59,088",0.1543009349
Arkansas,7/1/2021,"$2,908,833","$449,040",15.40%,"$58,375",0.1299995546
Arkansas,8/1/2021,"$2,892,285","$310,481",10.70%,"$40,363",0.1300015138
Arkansas,9/1/2021,"$7,007,774","$809,404",11.60%,"$105,223",0.130000593
Arkansas,10/1/2021,"$9,506,183","$803,567",8.50%,"$104,464",0.1300003609
Arkansas,11/1/2021,"$8,380,191","$1,623,434",19.40%,"$211,047",0.1300003573
Arkansas,12/1/2021,"$7,794,292","$130,305",1.70%,"$6,188",0.04748858447
Arkansas,1/1/2022,"$8,775,932","$1,181,335",13.50%,"$153,574",0.1300003809
Arkansas,2/1/2022,"$5,876,444","$359,103",6.10%,"$61,390",0.1709537375
Arkansas,3/1/2022,"$10,686,501","$791,867",7.40%,"$119,671",0.1511251258
Arkansas,4/1/2022,"$8,598,226","$749,810",8.70%,"$120,297",0.1604366439
Arkansas,5/1/2022,"$10,185,647","$615,576",6.00%,"$117,426",0.1907579243
Arkansas,6/1/2022,"$12,632,207","$4,045",0.00%,"$12,598",3.114462299
Arkansas,7/1/2022,"$9,290,467","$854,436",9.20%,"$111,077",0.1300003745
Arkansas,8/1/2022,"$10,195,911","$1,015,339",10.00%,"$131,994",0.1299999311
Arkansas,9/1/2022,"$21,185,547","$3,208,032",15.10%,"$417,044",0.1299999501
